grid_gid,blockType,pred_risk,risk_grade,basis
다사733451,경관녹지,82.84,저위험,동일유형
다사733452,경관녹지,82.84,저위험,동일유형
다사733453,경관녹지,82.84,저위험,동일유형
다사734445,경관녹지,82.84,저위험,동일유형
다사734446,경관녹지,82.84,저위험,동일유형
다사734450,경관녹지,82.84,저위험,동일유형
다사734451,경관녹지,82.84,저위험,동일유형
다사734452,경관녹지,82.84,저위험,동일유형
다사734453,경관녹지,82.84,저위험,동일유형
다사734454,경관녹지,82.84,저위험,동일유형
다사735445,경관녹지,82.84,저위험,동일유형
다사735446,경관녹지,82.84,저위험,동일유형
다사735449,경관녹지,82.84,저위험,동일유형
다사736450,경관녹지,82.84,저위험,동일유형
다사736451,경관녹지,82.84,저위험,동일유형
다사736452,경관녹지,82.84,저위험,동일유형
다사737453,경관녹지,82.84,저위험,동일유형
다사738453,경관녹지,82.84,저위험,동일유형
다사738454,경관녹지,82.84,저위험,동일유형
다사739453,경관녹지,82.84,저위험,동일유형
다사739454,경관녹지,82.84,저위험,동일유형
다사739461,경관녹지,82.84,저위험,동일유형
다사739464,경관녹지,82.84,저위험,동일유형
다사740463,경관녹지,82.84,저위험,동일유형
다사740464,경관녹지,82.84,저위험,동일유형
다사740466,경관녹지,82.84,저위험,동일유형
다사741455,경관녹지,82.84,저위험,동일유형
다사741457,경관녹지,82.84,저위험,동일유형
다사741458,경관녹지,82.84,저위험,동일유형
다사741463,경관녹지,82.84,저위험,동일유형
다사742471,경관녹지,82.84,저위험,동일유형
다사742472,경관녹지,82.84,저위험,동일유형
다사743470,경관녹지,82.84,저위험,동일유형
다사743471,경관녹지,82.84,저위험,동일유형
다사743472,경관녹지,82.84,저위험,동일유형
다사745474,경관녹지,82.84,저위험,동일유형
다사745475,경관녹지,82.84,저위험,동일유형
다사746475,경관녹지,82.84,저위험,동일유형
다사746476,경관녹지,82.84,저위험,동일유형
다사747476,경관녹지,82.84,저위험,동일유형
다사747477,경관녹지,82.84,저위험,동일유형
다사730440,보행자전용도로,82.19,저위험,동일유형
다사730448,보행자전용도로,82.19,저위험,동일유형
다사726443,근린생활시설용지,79.25,저위험,동일유형
다사726450,근린생활시설용지,79.25,저위험,동일유형
다사728445,근린생활시설용지,79.25,저위험,동일유형
다사730447,근린생활시설용지,79.25,저위험,동일유형
다사750482,근린생활시설용지,79.25,저위험,동일유형
다사751482,근린생활시설용지,79.25,저위험,동일유형
다사752481,근린생활시설용지,79.25,저위험,동일유형
다사724450,교육시설,75.55,저위험,학교유형평균
다사725446,교육시설,75.55,저위험,학교유형평균
다사725447,교육시설,75.55,저위험,학교유형평균
다사729446,교육시설,75.55,저위험,학교유형평균
다사730445,교육시설,75.55,저위험,학교유형평균
다사730446,교육시설,75.55,저위험,학교유형평균
다사731445,교육시설,75.55,저위험,학교유형평균
다사733460,교육시설,75.55,저위험,학교유형평균
다사744475,교육시설,75.55,저위험,학교유형평균
다사744482,교육시설,75.55,저위험,학교유형평균
다사745476,교육시설,75.55,저위험,학교유형평균
다사750484,교육시설,75.55,저위험,학교유형평균
다사751484,교육시설,75.55,저위험,학교유형평균
다사752483,교육시설,75.55,저위험,학교유형평균
다사753482,교육시설,75.55,저위험,학교유형평균
다사753483,교육시설,75.55,저위험,학교유형평균
다사754482,교육시설,75.55,저위험,학교유형평균
다사739477,복합시설용지기타,74.13,저위험,동일유형
다사740482,복합시설용지기타,74.13,저위험,동일유형
다사741476,복합시설용지기타,74.13,저위험,동일유형
다사741479,복합시설용지기타,74.13,저위험,동일유형
다사741482,복합시설용지기타,74.13,저위험,동일유형
다사742479,복합시설용지기타,74.13,저위험,동일유형
