최종순위,인자,설명,NB회귀_가중치,NB회귀_순위,EPDO상관_가중치,EPDO상관_순위,엔트로피_가중치,엔트로피_순위,통합가중치,합의도
1,vuln_peak_pop,취약시간대인구,0.471872,1,0.400517,1,0.347821,2,0.510258,★★★
2,gap_cnt,인프라공백수,0.20772,2,0.221515,2,0.024628,6,0.131813,★★
3,grid_avg_speed,격자평균속도,0.12725,3,0.051393,6,0.052499,4,0.088531,★★
4,elderly_res_ratio,노인거주비율,0.014865,7,0.047687,7,0.475332,1,0.087978,★
5,weekend_ratio,주말방문비율,0.097211,4,0.083811,4,0.024907,5,0.074296,★★
6,grid_congestion,혼잡위험도,0.032123,6,0.05685,5,0.06865,3,0.063278,★
7,vuln_float_ratio,교통약자유동비율,0.048958,5,0.138228,3,0.006163,7,0.043846,★
