grid_gid,epdo_total,is_high_risk,risk_prob,predicted_risk
다사652294,85.0,1,0.6888,1
다사675308,78.0,1,0.4317,0
다사648284,24.0,0,0.6888,1
다사653330,146.0,1,0.2081,0
다사658325,22.0,0,0.6888,1
다사649295,24.0,0,0.6888,1
다사653299,24.0,0,0.6888,1
다사650271,71.0,1,0.4844,0
다사650294,77.0,1,0.3443,0
다사649299,24.0,0,0.6888,1
다사642338,17.0,0,0.391,0
다사659339,16.0,0,0.4776,0
다사643338,24.0,0,0.6888,1
다사666317,85.0,1,0.5404,1
다사675345,16.0,0,0.6888,1
다사674316,22.0,0,0.5723,1
다사669347,24.0,0,0.3126,0
다사657318,146.0,1,0.391,0
다사668311,24.0,0,0.6888,1
다사655309,146.0,1,0.4173,0
다사669298,85.0,1,0.7679,1
다사654269,85.0,1,0.6888,1
다사668320,16.0,0,0.5129,1
다사648287,24.0,0,0.6888,1
다사656308,83.0,1,0.6888,1
다사652279,24.0,0,0.1645,0
다사652298,24.0,0,0.2243,0
다사653278,85.0,1,0.4844,0
다사664314,10.0,0,0.4031,0
다사672348,24.0,0,0.3148,0
다사647274,83.0,1,0.4173,0
다사659310,77.0,1,0.5506,1
다사669319,22.0,0,0.5056,1
다사690316,22.0,0,0.3168,0
다사647328,85.0,1,0.4173,0
다사669401,24.0,0,0.4359,0
다사643339,24.0,0,0.6888,1
다사677384,85.0,1,0.4211,0
다사695404,22.0,0,0.4031,0
다사675387,17.0,0,0.3044,0
다사687380,77.0,1,0.5804,1
다사659359,24.0,0,0.5738,1
다사683381,83.0,1,0.358,0
다사670372,24.0,0,0.3236,0
다사679382,78.0,1,0.6522,1
다사690394,85.0,1,0.4054,0
다사673382,146.0,1,0.6839,1
다사677407,17.0,0,0.4173,0
다사673381,85.0,1,0.3605,0
다사671384,78.0,1,0.6563,1
다사699393,78.0,1,0.5157,1
다사669389,24.0,0,0.6888,1
다사675381,20.0,0,0.5701,1
다사641363,17.0,0,0.6888,1
다사689382,24.0,0,0.4288,0
다사686379,2.0,0,0.496,0
다사694387,146.0,1,0.4789,0
다사671378,24.0,0,0.4211,0
다사675385,77.0,1,0.775,1
다사686386,24.0,0,0.2476,0
다사691381,24.0,0,0.4858,0
다사669407,85.0,1,0.4844,0
다사670397,144.0,1,0.4211,0
다사674381,76.0,1,0.5271,1
다사684417,24.0,0,0.6451,1
다사681383,16.0,0,0.4776,0
다사692390,85.0,1,0.6888,1
다사667370,22.0,0,0.6888,1
다사648363,85.0,1,0.6888,1
다사688381,24.0,0,0.4211,0
다사648357,24.0,0,0.6888,1
다사682406,22.0,0,0.602,1
다사626360,85.0,1,0.6888,1
다사660359,17.0,0,0.3544,0
다사664371,16.0,0,0.6888,1
다사687412,85.0,1,0.391,0
다사661357,78.0,1,0.601,1
다사684416,24.0,0,0.6888,1
다사678382,24.0,0,0.3686,0
다사683407,15.0,0,0.2476,0
다사676380,22.0,0,0.5234,1
다사672378,24.0,0,0.4054,0
다사700395,17.0,0,0.2255,0
다사703399,6.0,0,0.6067,1
다사701359,24.0,0,0.6888,1
다사702385,24.0,0,0.4173,0
다사677372,24.0,0,0.2803,0
다사688352,24.0,0,0.5408,1
다사696369,85.0,1,0.6888,1
다사684351,24.0,0,0.6888,1
다사704398,22.0,0,0.3663,0
다사715377,24.0,0,0.4031,0
다사699380,146.0,1,0.5989,1
다사701385,24.0,0,0.5446,1
다사698371,24.0,0,0.2009,0
다사695369,24.0,0,0.6888,1
다사666367,14.0,0,0.6888,1
다사703381,24.0,0,0.5404,1
다사701379,85.0,1,0.6772,1
다사697374,85.0,1,0.6322,1
다사668358,24.0,0,0.6888,1
다사677371,14.0,0,0.6888,1
다사697384,85.0,1,0.6911,1
다사666359,16.0,0,0.6888,1
다사681373,85.0,1,0.2508,0
다사674370,20.0,0,0.4054,0
다사666368,85.0,1,0.6888,1
다사707359,16.0,0,0.6888,1
다사703398,77.0,1,0.3314,0
다사668371,146.0,1,0.2476,0
다사699372,85.0,1,0.6305,1
다사700390,24.0,0,0.5404,1
다사683375,77.0,1,0.5266,1
다사670371,405.0,1,0.5266,1
다사667358,17.0,0,0.3714,0
다사693359,78.0,1,0.6888,1
